Time,input_1,output
0,0,0
0.1,0.094077037,0.094077037
0.2,0.248568169,0.248568169
0.3,0.453738555,0.453738555
0.4,0.6841806,0.5
0.5,0.890649686,0.5
0.6,0.997955076,0.5
0.7,0.9183649,0.5
0.8,0.589410688,0.5
0.9,0.033954089,0.033954089
1,-0.585240754,-0.5
1.1,-0.975080479,-0.5
1.2,-0.846743301,-0.5
1.3,-0.161676161,-0.161676161
1.4,0.680045517,0.5
1.5,0.988769427,0.5
1.6,0.375590273,0.375590273
1.7,-0.654474292,-0.5
1.8,-0.954152604,-0.5
1.9,-0.042744049,-0.042744049
2,0.947098305,0.5
2.1,0.520917266,0.5
2.2,-0.760732318,-0.5
2.3,-0.718760019,-0.5
2.4,0.671244646,0.5
2.5,0.720853597,0.5
2.6,-0.75680343,-0.5
2.7,-0.528619094,-0.5
2.8,0.94315771,0.5
2.9,0.057804481,0.057804481
3,-0.959412472,-0.5
3.1,0.63836756,0.5
3.2,0.397839748,0.397839748
3.3,-0.992461257,-0.5
3.4,0.65762773,0.5
3.5,0.194319955,0.194319955
3.6,-0.865438378,-0.5
3.7,0.965635213,0.5
3.8,-0.550492397,-0.5
3.9,-0.079116779,-0.079116779
4,0.627691361,0.5
4.1,-0.937438855,-0.5
4.2,0.993016665,0.5
4.3,-0.863147126,-0.5
4.4,0.638971909,0.5
4.5,-0.396426965,-0.396426965
4.6,0.18380038,0.18380038
4.7,-0.02484744,-0.02484744
4.8,-0.072319107,-0.072319107
4.9,0.106642391,0.106642391
5,-0.078459096,-0.078459096
5.1,-0.012534626,-0.012534626
5.2,0.165612196,0.165612196
5.3,-0.373696962,-0.373696962
5.4,0.614990087,0.5
5.5,-0.843906828,-0.5
5.6,0.987010951,0.5
5.7,-0.953444699,-0.5
5.8,0.669846258,0.5
5.9,-0.140310259,-0.140310259
6,-0.492727342,-0.492727342
6.1,0.943813642,0.5
6.2,-0.902729499,-0.5
6.3,0.27805575,0.27805575
6.4,0.585342645,0.5
6.5,-0.999703618,-0.5
6.6,0.491524016,0.491524016
6.7,0.549311619,0.5
6.8,-0.985771612,-0.5
6.9,0.18000069,0.18000069
7,0.892428378,0.5
7.1,-0.638415923,-0.5
7.2,-0.656964801,-0.5
7.3,0.815048927,0.5
7.4,0.549652846,0.5
7.5,-0.820401444,-0.5
7.6,-0.642830393,-0.5
7.7,0.659637076,0.5
7.8,0.875032312,0.5
7.9,-0.225525817,-0.225525817
8,-0.993611311,-0.5
8.1,-0.493793139,-0.493793139
8.2,0.554890892,0.5
8.3,0.998239621,0.5
8.4,0.507526332,0.5
8.5,-0.374687504,-0.374687504
8.6,-0.94502199,-0.5
8.7,-0.897071811,-0.5
8.8,-0.375590273,-0.375590273
8.9,0.276606936,0.276606936
9,0.772511964,0.5
9.1,0.989030821,0.5
9.2,0.946451096,0.5
9.3,0.73647265,0.5
9.4,0.458575108,0.458575108
9.5,0.18660977,0.18660977
9.6,-0.038192476,-0.038192476
9.7,-0.19998702,-0.19998702
9.8,-0.297161571,-0.297161571
9.9,-0.332849169,-0.332849169
10,-0.309016994,-0.309016994
10.1,-0.224301377,-0.224301377
10.2,-0.075452112,-0.075452112
10.3,0.137510239,0.137510239
10.4,0.402446334,0.402446334
10.5,0.683974364,0.5
10.6,0.914784911,0.5
10.7,0.998813118,0.5
10.8,0.838624937,0.5
10.9,0.393714102,0.393714102
11,-0.245645771,-0.245645771
11.1,-0.821370278,-0.5
11.2,-0.985346043,-0.5
11.3,-0.529685385,-0.5
11.4,0.338856152,0.338856152
11.5,0.966801093,0.5
11.6,0.717163651,0.5
11.7,-0.288360049,-0.288360049
