time,desired_output,sensed_output,plant_command
0,0,0,0
0.05,0.03148141,0.003219342,0.021337888
0.1,0.063072702,0.006594155,0.042924002
0.15,0.094741643,0.010124395,0.064733587
0.2,0.126455208,0.013810002,0.086740975
0.25,0.158179609,0.017650907,0.108919602
0.3,0.189880322,0.021647024,0.131242023
0.35,0.221522117,0.025798253,0.153679929
0.4,0.253069094,0.030104475,0.176204162
0.45,0.284484715,0.034565555,0.198784741
0.5,0.315731841,0.039181336,0.221390884
0.55,0.346772772,0.043951641,0.24399103
0.6,0.377569291,0.048876267,0.26655287
0.65,0.408082703,0.053954988,0.289043374
0.7,0.438273885,0.059187551,0.311428823
0.75,0.468103332,0.064573673,0.333674843
0.8,0.497531208,0.070113042,0.355746443
0.85,0.526517398,0.075805312,0.377608048
0.9,0.555021563,0.081650103,0.399223543
0.95,0.583003198,0.087646998,0.420556316
1,0.610421688,0.093795544,0.4415693
1.05,0.637236371,0.100095243,0.462225022
1.1,0.663406601,0.106545557,0.482485651
1.15,0.688891811,0.113145901,0.502313048
1.2,0.71365158,0.119895645,0.521668824
1.25,0.737645704,0.126794107,0.540514388
1.3,0.760834263,0.133840552,0.558811012
1.35,0.783177694,0.141034194,0.576519884
1.4,0.804636866,0.148374186,0.593602175
1.45,0.82517315,0.155859624,0.610019098
1.5,0.844748502,0.16348954,0.625731976
1.55,0.863325537,0.171262903,0.640702305
1.6,0.880867606,0.179178613,0.654891829
1.65,0.89733888,0.187235502,0.668262605
1.7,0.912704425,0.195432326,0.680777076
1.75,0.92693029,0.20376777,0.692398145
1.8,0.939983586,0.212240437,0.703089249
1.85,0.951832564,0.220848851,0.712814437
1.9,0.962446708,0.229591452,0.721538444
1.95,0.971796809,0.238466591,0.729226768
2,0.979855052,0.247472534,0.735845754
2.05,0.986595099,0.25660745,0.741362669
2.1,0.99199217,0.265869415,0.745745785
2.15,0.996023125,0.275256408,0.748964456
2.2,0.99866655,0.284766305,0.750989203
2.25,0.999902828,0.294396877,0.751791795
2.3,0.999714229,0.30414579,0.751345324
2.35,0.998084978,0.314010601,0.749624295
2.4,0.995001339,0.32398875,0.746604699
2.45,0.990451683,0.334077566,0.742264096
2.5,0.984426568,0.344274257,0.736581696
2.55,0.976918801,0.354575908,0.729538433
2.6,0.967923512,0.364979482,0.721117044
2.65,0.957438216,0.375481814,0.711302148
2.7,0.945462876,0.386079608,0.700080315
2.75,0.931999962,0.396769435,0.687440141
2.8,0.917054507,0.407547732,0.673372318
2.85,0.900634157,0.418410796,0.657869702
2.9,0.882749224,0.429354783,0.640927382
2.95,0.863412721,0.440375704,0.622542736
3,0.842640412,0.451469427,0.6027155
3.05,0.820450839,0.462631667,0.581447818
3.1,0.796865357,0.473857992,0.558744299
3.15,0.771908154,0.485143812,0.53461207
3.2,0.745606277,0.496484384,0.509060815
3.25,0.717989642,0.507874805,0.482102827
3.3,0.689091042,0.519310014,0.453753037
3.35,0.658946155,0.530784786,0.424029057
3.4,0.627593532,0.542293731,0.392951201
3.45,0.595074595,0.553831296,0.360542514
3.5,0.561433617,0.565391756,0.326828791
3.55,0.526717698,0.576969222,0.29183859
3.6,0.490976739,0.588557631,0.255603239
3.65,0.454263398,0.600150749,0.218156841
3.7,0.416633056,0.611742169,0.179536271
3.75,0.378143757,0.623325311,0.139781166
3.8,0.338856152,0.634893419,0.098933908
3.85,0.298833435,0.646439564,0.057039607
3.9,0.258141266,0.657956639,0.014146066
3.95,0.216847693,0.669437362,-0.029696245
4,0.175023059,0.680874277,-0.074434242
4.05,0.132739909,0.692259751,-0.120012262
4.1,0.090072883,0.703585975,-0.166372131
4.15,0.047098605,0.714844966,-0.213453219
4.2,0.003895565,0.726028569,-0.26119251
4.25,-0.039456013,0.737128454,-0.309524682
4.3,-0.082874302,0.748136123,-0.358382187
4.35,-0.126276015,0.759042905,-0.407695345
4.4,-0.169576555,0.769839965,-0.45739244
4.45,-0.212690173,0.7805183,-0.507399828
4.5,-0.255530128,0.791068747,-0.557642044
4.55,-0.298008863,0.80148198,-0.608041929
4.6,-0.340038176,0.81174852,-0.658520747
4.65,-0.381529409,0.821858731,-0.708998327
4.7,-0.422393632,0.831802829,-0.759393197
4.75,-0.462541843,0.841570886,-0.809622732
4.8,-0.501885164,0.851152832,-0.859603306
4.85,-0.540335049,0.86053846,-0.909250451
4.9,-0.577803495,0.869717433,-0.958479021
4.95,-0.614203253,0.878679289,-1.007203365
5,-0.649448048,0.887413447,-1.055337495
5.05,-0.683452803,0.895909211,-1.102795277
5.1,-0.716133856,0.904155782,-1.149490606
5.15,-0.747409195,0.912142258,-1.195337602
5.2,-0.777198681,0.919857649,-1.240250803
5.25,-0.805424277,0.927290878,-1.284145358
5.3,-0.832010284,0.934430797,-1.326937233
5.35,-0.856883564,0.941266188,-1.368543409
5.4,-0.879973774,0.947785777,-1.40888209
5.45,-0.901213593,0.953978244,-1.44787291
5.5,-0.920538948,0.95983223,-1.485437141
5.55,-0.937889237,0.965336349,-1.5214979
5.6,-0.953207554,0.970479202,-1.555980363
5.65,-0.966440897,0.975249384,-1.588811969
5.7,-0.977540389,0.979635498,-1.619922628
5.75,-0.986461476,0.983626168,-1.649244932
5.8,-0.993164132,0.987210051,-1.676714354
5.85,-0.997613049,0.99037585,-1.702269453
5.9,-0.999777823,0.993112329,-1.725852067
5.95,-0.999633132,0.995408327,-1.747407511
6,-0.9971589,0.997252771,-1.766884767
6.05,-0.992340457,0.998634695,-1.78423666
6.1,-0.985168682,0.999543252,-1.799420044
6.15,-0.975640142,0.999967729,-1.812395968
6.2,-0.963757211,0.999897569,-1.823129839
6.25,-0.949528181,0.999322385,-1.83159158
6.3,-0.932967357,0.998231973,-1.837755772
6.35,-0.91409514,0.996616339,-1.841601795
6.4,-0.89293809,0.994465708,-1.843113951
6.45,-0.86952898,0.991770549,-1.842281584
6.5,-0.843906828,0.98852159,-1.839099181
6.55,-0.816116914,0.984709841,-1.833566467
6.6,-0.786210783,0.980326608,-1.825688483
6.65,-0.754246224,0.975363521,-1.815475658
6.7,-0.720287233,0.969812545,-1.802943855
6.75,-0.68440396,0.963666009,-1.788114417
6.8,-0.646672634,0.956916622,-1.771014188
6.85,-0.607175469,0.949557494,-1.751675523
6.9,-0.566000548,0.941582161,-1.730136283
6.95,-0.523241691,0.932984601,-1.706439813
7,-0.478998303,0.923759263,-1.680634904
7.05,-0.433375195,0.913901082,-1.652775737
7.1,-0.386482394,0.903405503,-1.622921813
7.15,-0.338434927,0.892268504,-1.591137865
7.2,-0.289352582,0.880486621,-1.557493752
7.25,-0.239359659,0.868056962,-1.522064337
7.3,-0.188584693,0.854977236,-1.484929346
7.35,-0.137160159,0.841245774,-1.446173212
7.4,-0.085222159,0.826861548,-1.405884901
7.45,-0.032910093,0.811824195,-1.364157719
7.5,0.019633692,0.796134038,-1.321089107
7.55,0.072264273,0.779792109,-1.276780414
7.6,0.124834527,0.762800165,-1.231336657
7.65,0.177195534,0.745160715,-1.184866265
7.7,0.229196993,0.726877037,-1.137480805
7.75,0.280687649,0.707953198,-1.0892947
7.8,0.33151573,0.688394074,-1.040424921
7.85,0.381529409,0.668205369,-0.990990679
7.9,0.430577259,0.647393633,-0.941113095
7.95,0.478508729,0.62596628,-0.890914858
8,0.52517463,0.603931603,-0.840519878
8.05,0.570427615,0.581298796,-0.790052926
8.1,0.614122676,0.558077963,-0.739639259
8.15,0.656117643,0.534280133,-0.689404247
8.2,0.696273678,0.509917281,-0.639472982
8.25,0.734455777,0.485002329,-0.589969894
8.3,0.770533268,0.459549169,-0.541018349
8.35,0.804380301,0.433572664,-0.492740252
8.4,0.835876347,0.407088665,-0.445255645
8.45,0.864906671,0.380114012,-0.398682307
8.5,0.891362813,0.352666546,-0.353135351
8.55,0.915143048,0.324765112,-0.308726823
8.6,0.936152843,0.296429562,-0.265565312
8.65,0.954305286,0.267680759,-0.223755555
8.7,0.969521512,0.238540576,-0.183398057
8.75,0.981731108,0.209031897,-0.144588712
8.8,0.990872486,0.179178613,-0.107418444
8.85,0.996893255,0.149005617,-0.071972846
8.9,0.999750546,0.118538799,-0.038331847
8.95,0.999411331,0.087805037,-0.006569382
9,0.995852701,0.056832189,0.02324692
9.05,0.989062122,0.025649076,0.051056022
9.1,0.979037652,-0.005714526,0.076803753
9.15,0.96578814,-0.037227908,0.100443066
9.2,0.949333369,-0.068859442,0.121934258
9.25,0.929704187,-0.100576607,0.141245184
9.3,0.906942579,-0.132346004,0.158351433
9.35,0.881101719,-0.164133389,0.173236485
9.4,0.852245967,-0.195903699,0.185891838
9.45,0.820450839,-0.227621078,0.196317107
9.5,0.785802924,-0.259248913,0.204520092
9.55,0.748399764,-0.29074987,0.210516819
9.6,0.708349693,-0.322085928,0.214331544
9.65,0.66577163,-0.353218422,0.215996732
9.7,0.620794824,-0.384108081,0.215552994
9.75,0.573558565,-0.41471508,0.213049003
9.8,0.524211842,-0.444999081,0.208541361
9.85,0.472912963,-0.474919288,0.202094446
9.9,0.419829126,-0.504434494,0.193780219
9.95,0.365135958,-0.533503142,0.183677992
10,0.309016994,-0.562083378,0.171874173
10.05,0.251663138,-0.590133115,0.158461969
10.1,0.193272064,-0.617610092,0.143541057
10.15,0.134047586,-0.644471942,0.127217227
10.2,0.074198997,-0.670676255,0.109601986
10.25,0.013940366,-0.696180655,0.09081214
10.3,-0.046510202,-0.720942864,0.070969337
10.35,-0.106931327,-0.74492078,0.050199589
10.4,-0.167099148,-0.768072554,0.028632762
10.45,-0.226788148,-0.790356666,0.006402046
10.5,-0.285771996,-0.811732007,-0.016356605
10.55,-0.343824412,-0.83215796,-0.039505054
10.6,-0.40072005,-0.851594483,-0.062903573
10.65,-0.456235396,-0.870002199,-0.086411465
10.7,-0.510149675,-0.887342475,-0.109887695
10.75,-0.562245764,-0.903577519,-0.133191531
10.8,-0.612311117,-0.918670462,-0.156183201
10.85,-0.660138678,-0.932585454,-0.178724556
10.9,-0.7055278,-0.945287753,-0.200679734
10.95,-0.748285152,-0.956743818,-0.221915831
11,-0.788225612,-0.966921401,-0.242303565
11.05,-0.82517315,-0.975789642,-0.261717943
11.1,-0.858961684,-0.983319158,-0.280038912
11.15,-0.889435918,-0.989482144,-0.297152008
11.2,-0.916452146,-0.994252459,-0.31294898
11.25,-0.939879024,-0.997605722,-0.327328412
11.3,-0.959598313,-0.999519403,-0.340196309
11.35,-0.975505566,-0.999972916,-0.351466666
11.4,-0.987510786,-0.998947706,-0.361062015
11.45,-0.995539022,-0.99642734,-0.368913931
11.5,-0.999530922,-0.992397593,-0.374963513
11.55,-0.999443221,-0.986846534,-0.379161824
11.6,-0.995249175,-0.979764605,-0.381470292
11.65,-0.986938931,-0.971144708,-0.381861072
11.7,-0.974519827,-0.960982275,-0.380317355
11.75,-0.958016622,-0.949275349,-0.37683364
11.8,-0.937471663,-0.936024651,-0.371415944
11.85,-0.912944964,-0.921233652,-0.364081965
11.9,-0.884514218,-0.904908631,-0.354861195
11.95,-0.852274727,-0.887058739,-0.343794963
12,-0.816339251,-0.867696054,-0.330936435
12.05,-0.776837775,-0.846835629,-0.316350542
12.1,-0.733917201,-0.824495539,-0.300113851
12.15,-0.687740944,-0.800696921,-0.282314381
12.2,-0.638488461,-0.775464007,-0.263051341
12.25,-0.586354684,-0.748824155,-0.242434821
12.3,-0.531549379,-0.72080787,-0.220585411
12.35,-0.474296422,-0.691448817,-0.19763376
12.4,-0.414832998,-0.660783836,-0.173720073
12.45,-0.35340872,-0.628852938,-0.148993545
12.5,-0.290284677,-0.595699304,-0.12361174
12.55,-0.225732406,-0.561369272,-0.09773991
12.6,-0.160032799,-0.525912312,-0.071550253
12.65,-0.093474945,-0.489381006,-0.045221127
12.7,-0.02635491,-0.451831003,-0.018936203
12.75,0.041025537,-0.41332098,0.007116422
12.8,0.108360254,-0.373912587,0.032745159
12.85,0.175340093,-0.333670385,0.057755904
12.9,0.241654316,-0.292661775,0.081953049
12.95,0.30699204,-0.25095692,0.105140528
13,0.37104371,-0.208628655,0.127122885
13.05,0.433502597,-0.165752388,0.147706373
13.1,0.494066301,-0.122405998,0.166700065
13.15,0.552438273,-0.078669715,0.183916979
13.2,0.608329324,-0.034625994,0.199175208
13.25,0.661459137,0.009640613,0.212299052
13.3,0.711557751,0.054043609,0.223120148
13.35,0.758367035,0.098494697,0.231478581
13.4,0.801642113,0.142903944,0.237223983
13.45,0.841152768,0.187179953,0.240216606
13.5,0.876684778,0.231230037,0.240328364
13.55,0.908041214,0.274960412,0.237443842
13.6,0.935043662,0.318276386,0.231461253
13.65,0.957533376,0.361082566,0.222293352
13.7,0.975372356,0.403283068,0.209868294
13.75,0.988444334,0.444781734,0.194130428
13.8,0.996655667,0.485482358,0.175041017
13.85,0.999936134,0.525288916,0.152578896
13.9,0.998239621,0.564105807,0.126741041
13.95,0.991544693,0.601838092,0.097543055
14,0.979855052,0.638391742,0.065019566
14.05,0.963199871,0.673673895,0.029224527
14.1,0.941633993,0.707593109,-0.009768575
14.15,0.915238008,0.740059626,-0.051866624
14.2,0.88411819,0.770985627,-0.096956876
14.25,0.848406295,0.800285508,-0.144907074
14.3,0.808259225,0.827876136,-0.195565672
14.35,0.763858548,0.853677124,-0.248762169
14.4,0.715409875,0.877611092,-0.304307564
14.45,0.663142103,0.899603935,-0.361994919
14.5,0.607306512,0.919585089,-0.421600034
14.55,0.548175727,0.937487791,-0.482882246
14.6,0.486042549,0.953249334,-0.545585328
14.65,0.421218652,0.966811328,-0.609438505
14.7,0.35403315,0.978119941,-0.674157576
14.75,0.284831052,0.987126148,-0.739446132
14.8,0.213971594,0.99378596,-0.804996891
14.85,0.14182647,0.998060659,-0.870493104
14.9,0.068777955,0.999917007,-0.935610068
14.95,-0.004783057,0.999327463,-1.000016717
15,-0.078459096,0.996270376,-1.063377281
15.05,-0.15184824,0.990730174,-1.125353023
15.1,-0.224546293,0.98269753,-1.185604029
15.15,-0.296149013,0.972169531,-1.243791055
15.2,-0.366254383,0.959149816,-1.299577411
15.25,-0.434464907,0.943648706,-1.352630878
15.3,-0.500389916,0.925683317,-1.40262565
15.35,-0.563647876,0.905277659,-1.449244282
15.4,-0.623868685,0.882462704,-1.492179643
15.45,-0.680695937,0.857276454,-1.531136855
15.5,-0.733789154,0.829763973,-1.565835211
15.55,-0.782825951,0.799977408,-1.596010056
15.6,-0.82750414,0.767975981,-1.621414624
15.65,-0.867543751,0.73382597,-1.641821817
15.7,-0.902688949,0.697600658,-1.657025908
15.75,-0.93270985,0.65938026,-1.666844175
15.8,-0.957404205,0.619251834,-1.671118422
15.85,-0.976598951,0.57730916,-1.669716417
15.9,-0.990151617,0.533652598,-1.662533194
15.95,-0.99795156,0.488388922,-1.649492241
16,-0.999921044,0.441631129,-1.630546549
16.05,-0.996016125,0.393498224,-1.605679509
16.1,-0.986227352,0.344114976,-1.574905658
16.15,-0.970580271,0.293611658,-1.538271263
16.2,-0.94913572,0.242123754,-1.495854729
16.25,-0.921989916,0.189791643,-1.447766835
16.3,-0.889274324,0.136760268,-1.394150778
16.35,-0.851155306,0.083178767,-1.335182039
16.4,-0.807833548,0.029200094,-1.27106805
16.45,-0.759543269,-0.025019389,-1.20204767
16.5,-0.706551203,-0.079320341,-1.128390464
16.55,-0.649155362,-0.133540888,-1.050395785
16.6,-0.587683584,-0.187517094,-0.968391664
16.65,-0.522491868,-0.241083445,-0.882733503
16.7,-0.453962508,-0.294073355,-0.793802584
16.75,-0.382502022,-0.346319684,-0.702004388
16.8,-0.308538902,-0.397655275,-0.607766736
16.85,-0.232521185,-0.447913502,-0.511537766
16.9,-0.154913852,-0.496928827,-0.413783737
16.95,-0.076196092,-0.544537373,-0.314986686
17,0.003141587,-0.590577499,-0.215641943
17.05,0.082600355,-0.634890385,-0.116255518
17.1,0.161676161,-0.67732062,-0.017341364
17.15,0.239862921,-0.717716794,0.08058145
17.2,0.316655768,-0.755932084,0.176991662
17.25,0.391554346,-0.791824849,0.271368804
17.3,0.464066125,-0.82525921,0.363196248
17.35,0.533709719,-0.856105626,0.451964275
17.4,0.600018184,-0.884241467,0.537173177
17.45,0.662542268,-0.909551569,0.618336338
17.5,0.720853597,-0.931928775,0.694983308
17.55,0.774547772,-0.951274468,0.766662823
17.6,0.823247353,-0.96749907,0.832945766
17.65,0.866604707,-0.980522538,0.893428051
17.7,0.9043047,-0.99027482,0.947733392
17.75,0.936067212,-0.996696297,0.995515961
17.8,0.961649451,-0.999738187,1.036462898
17.85,0.980848051,-0.999362925,1.070296655
17.9,0.993500929,-0.995544504,1.096777172
17.95,0.999488889,-0.988268786,1.115703848
18,0.998736957,-0.977533768,1.126917294
18.05,0.991215425,-0.963349816,1.130300868
18.1,0.976940606,-0.94573985,1.125781956
18.15,0.955975272,-0.92473949,1.113333
18.2,0.928428778,-0.90039715,1.092972258
18.25,0.894456859,-0.872774093,1.064764283
18.3,0.854261101,-0.841944432,1.028820118
18.35,0.808088079,-0.807995077,0.985297193
18.4,0.756228163,-0.77102564,0.934398926
18.45,0.699013994,-0.73114828,0.876374028
18.5,0.636818634,-0.688487496,0.811515492
18.55,0.570053406,-0.643179868,0.7401593
18.6,0.49916542,-0.595373743,0.662682815
18.65,0.424634806,-0.545228867,0.579502894
18.7,0.346971664,-0.49291596,0.491073712
18.75,0.266712757,-0.438616239,0.397884309
18.8,0.184417958,-0.382520889,0.300455882
18.85,0.100666469,-0.32483048,0.199338821
18.9,0.016052849,-0.26575433,0.095109518
18.95,-0.068817132,-0.205509819,-0.01163304
19,-0.153330784,-0.14432166,-0.120270873
19.05,-0.236872907,-0.082421112,-0.23017078
19.1,-0.318830281,-0.02004516,-0.340688268
19.15,-0.398596209,0.042564357,-0.451171592
19.2,-0.475575079,0.10516165,-0.560965911
19.25,-0.549186918,0.167497927,-0.669417498
19.3,-0.618871881,0.229322368,-0.775878005
19.35,-0.684094675,0.290383133,-0.879708736
19.4,-0.744348844,0.350428397,-0.980284905
19.45,-0.799160913,0.409207406,-1.076999848
19.5,-0.848094337,0.466471552,-1.169269154
19.55,-0.890753226,0.52197546,-1.256534696
19.6,-0.926785815,0.57547809,-1.338268515
