Time,input_1,output
0,0,-1
0.1,9.407703677,-0.764807408
0.2,24.85681695,-0.378579576
0.3,45.37385554,0.134346389
0.4,68.41805999,0.7104515
0.5,89.06496861,1.226624215
0.6,99.79550758,1.494887689
0.7,91.83648997,1.295912249
0.8,58.94106883,0.473526721
0.9,3.395408903,-0.915114777
1,-58.5240754,-2.463101885
1.1,-97.50804791,-3.437701198
1.2,-84.67433007,-3.116858252
1.3,-16.1676161,-1.404190402
1.4,68.00455169,0.700113792
1.5,98.87694267,1.471923567
1.6,37.55902729,-0.061024318
1.7,-65.4474292,-2.63618573
1.8,-95.41526042,-3.38538151
1.9,-4.274404936,-1.106860123
2,94.7098305,1.367745762
2.1,52.09172657,0.302293164
2.2,-76.07323177,-2.901830794
2.3,-71.87600193,-2.796900048
2.4,67.1244646,0.678111615
2.5,72.08535967,0.802133992
2.6,-75.68034302,-2.892008575
2.7,-52.86190944,-2.321547736
2.8,94.31577101,1.357894275
2.9,5.780448134,-0.855488797
3,-95.94124719,-3.39853118
3.1,63.83675602,0.5959189
3.2,39.78397484,-0.005400629
3.3,-99.24612567,-3.481153142
3.4,65.76277304,0.644069326
3.5,19.4319955,-0.514200113
3.6,-86.54383776,-3.163595944
3.7,96.56352129,1.414088032
3.8,-55.04923967,-2.376230992
3.9,-7.911677932,-1.197791948
4,62.76913613,0.569228403
4.1,-93.74388547,-3.343597137
4.2,99.30166653,1.482541663
4.3,-86.31471262,-3.157867815
4.4,63.89719091,0.597429773
4.5,-39.64269654,-1.991067414
4.6,18.38003804,-0.540499049
4.7,-2.48474404,-1.062118601
4.8,-7.231910711,-1.180797768
4.9,10.66423911,-0.733394022
5,-7.845909573,-1.196147739
5.1,-1.253462643,-1.031336566
5.2,16.56121957,-0.585969511
5.3,-37.36969619,-1.934242405
5.4,61.4990087,0.537475218
5.5,-84.39068278,-3.109767069
5.6,98.7010951,1.467527378
5.7,-95.34446988,-3.383611747
5.8,66.98462576,0.674615644
5.9,-14.03102592,-1.350775648
6,-49.27273415,-2.231818354
6.1,94.38136417,1.359534104
6.2,-90.27294993,-3.256823748
6.3,27.80557499,-0.304860625
6.4,58.5342645,0.463356613
6.5,-99.97036181,-3.499259045
6.6,49.15240155,0.228810039
6.7,54.93116195,0.373279049
6.8,-98.57716124,-3.464429031
6.9,18.00006901,-0.549998275
7,89.24283781,1.231070945
7.1,-63.84159226,-2.596039806
7.2,-65.69648009,-2.642412002
7.3,81.50489273,1.037622318
7.4,54.96528458,0.374132114
7.5,-82.04014435,-3.051003609
7.6,-64.28303927,-2.607075982
7.7,65.96370758,0.649092689
7.8,87.50323122,1.187580781
7.9,-22.55258168,-1.563814542
8,-99.36113105,-3.484028276
8.1,-49.3793139,-2.234482847
8.2,55.48908917,0.387227229
8.3,99.82396209,1.495599052
8.4,50.75263323,0.268815831
8.5,-37.4687504,-1.93671876
8.6,-94.50219898,-3.362554974
8.7,-89.7071811,-3.242679527
8.8,-37.55902729,-1.938975682
8.9,27.66069365,-0.308482659
9,77.25119637,0.931279909
9.1,98.90308209,1.472577052
9.2,94.64510956,1.366127739
9.3,73.64726498,0.841181625
9.4,45.85751083,0.146437771
9.5,18.66097703,-0.533475574
9.6,-3.819247556,-1.095481189
9.7,-19.998702,-1.49996755
9.8,-29.7161571,-1.742903928
9.9,-33.28491693,-1.832122923
10,-30.90169944,-1.772542486
10.1,-22.43013765,-1.560753441
10.2,-7.545211162,-1.188630279
10.3,13.75102388,-0.656224403
